Date,Day,Reactor,SampleID in BioProject PRJNA1197561 (NCBI),Temp (¢XC),pH,ORP (mV),EC (mS/cm),Alkalinity (mg CaCO3/L),Inf Nacl (%),Inf Sucrose (mg/L),Inf aspartic acid (mg/L),Eff Formate (mg/L),Eff Acetate (mg/L),Eff Propionate (mg/L),Eff Isobutyrate (mg/L),Eff Butyrate (mg/L),Eff Isovalerate (mg/L),Eff COD (mg/L),"Gas production (L/day, NTP)",H2 (%),N2 (%),CH4 (%),CO2 (%),DNA Concentration (ng/uL),measured HRT (day),measured ORL(kg-COD/m3/day)
2022/10/15,14,D1,Daughter1_D014,32.97,6.64,-436.95,3.49,1488.15,0.6,2000,0,2.19,37.22,14.7,3.2,7.23,0,370,1.0926,0.00E+00,13.16,60.62,26.23,82.13,2.2,1.09
2022/10/16,15,D1,Daughter1_D015,32.9,6.61,-441.21,3.46,1331.95,0.6,2000,0,2.12,35.52,13,3.82,4.95,0,20,1.1673,0.00E+00,11.96,59.37,28.67,189.06,2.15,1.11
2022/10/17,16,D1,Daughter1_D016,32.9,6.59,-440.26,3.5,1478.6,0.8,2000,0,2.41,33.42,13.38,4.68,4.21,0,120,1.1446,0.00E+00,13.77,58.62,27.61,121.53,2.16,1.16
2022/10/18,17,D1,Daughter1_D017,32.84,6.64,-221.95,3.53,1534,0.8,2000,0,1.37,22.77,8.21,2.82,1.47,0,110,0.8272,0.00E+00,15.2,58.83,25.96,166.14,2.11,1.09
2022/10/19,18,D1,Daughter1_D018,32.33,6.69,-350.21,3.53,1552.25,0.8,2000,0,0.25,3.22,1.45,0,0,0,130,0.7854,4.56E-02,21.04,58.71,20.2,144.43,2.22,1.11
2022/10/20,19,D1,Daughter1_D019,33,6.69,-416.61,3.6,1570.5,0.8,2000,0,1.51,15.38,4.26,3,0,0,140,0.9323,0.00E+00,13.81,59.43,26.76,133.84,2.17,1.09
2022/10/21,20,D1,Daughter1_D020,33.1,6.69,-433.79,3.55,1541.75,0.8,2000,0,,,,,,,80,0.9635,0.00E+00,13.59,59.29,27.12,157.95,2.21,1.1
2022/10/22,21,D1,Daughter1_D021,32.78,6.68,-436.61,3.64,1555.7,1,2000,0,1.28,0.94,0,0,0,0,50,0.9085,0.00E+00,12.46,58.02,29.51,132.63,2.14,1.1
2022/10/23,22,D1,Daughter1_D022,33.31,6.65,-420.53,3.46,1552.65,1,2000,0,1.35,4.07,1.62,0,0,0,30,,,,,,107.7,2.15,1.15
2022/10/24,23,D1,Daughter1_D023,32.9,6.67,-426.95,3.5,1552.65,1,2000,0,0.97,5.25,1.44,0,0,0,100,1.0954,0.00E+00,16.08,60.12,23.8,140.13,2.11,1.06
2022/10/25,24,D1,Daughter1_D024,33.2,6.69,-284.06,3.6,1545.45,1,2000,0,1.23,11.6,3.85,3.26,0,0,90,1.0423,0.00E+00,16.96,59.12,23.92,185.65,2.33,1.09
2022/10/26,25,D1,Daughter1_D025,33.29,6.7,-372.76,3.64,1554.85,1,2000,0,0,4.48,1.37,0,0,0,50,0.9711,0.00E+00,16.79,59.03,24.18,174.3,2.19,1.08
2022/10/27,26,D1,Daughter1_D026,33.34,6.68,-432.36,3.67,1547.45,1.2,2000,0,0.69,5.26,0,0,0,0,80,1.0839,4.53E-02,15.61,59.33,25.02,175.21,2.18,1.05
2022/10/28,27,D1,Daughter1_D027,32.93,6.66,-440.67,3.52,1527.9,1.2,2000,0,0.25,4.1,0,2.32,0,0,,1.127,0.00E+00,16.27,61.33,22.4,90.26,2.2,1.12
2022/10/29,28,D1,Daughter1_D028,32.95,6.66,-433.48,3.61,1476.75,1.2,2000,0,0.62,5.3,3.1,1.6,0.52,0,10,,,,,,167.42,2.13,1.23
2022/10/30,29,D1,Daughter1_D029,33.16,6.66,-430.13,3.59,1542.25,1.2,2000,0,0.45,1.56,0,0,0,0,30,,,,,,179.74,2.19,0.97
2022/10/31,30,D1,Daughter1_D030,32.67,6.67,-434.78,3.54,1548.6,1.2,2000,0,0.56,1.42,0,0,0,0,160,,,,,,155.2,2.21,1.06
2022/11/1,31,D1,Daughter1_D031,32.91,6.66,-451.19,3.49,1524.9,1.4,2000,0,0,0,0,0,0,0,20,1.059,0.00E+00,11.16,60.95,27.89,246.03,2.22,1.04
2022/11/2,32,D1,Daughter1_D032,33.06,6.67,-447.95,3.54,1552.95,1.4,2000,0,0.39,0,0,0,0,0,20,1.1355,0.00E+00,11.89,59.26,28.85,184.33,2.19,1.2
2022/11/3,33,D1,Daughter1_D033,32.25,6.66,-455.82,3.51,1558.25,1.4,2000,0,0.7,0,0,0,0,0,50,1.0336,2.22E-01,10.62,61.69,27.47,80.07,2.23,1.26
2022/11/4,34,D1,Daughter1_D034,32.97,6.62,-452.7,3.53,1515.3,1.4,2000,0,0.92,0,0,0,0,0,40,1.2112,5.59E-02,13.12,59.44,27.38,137.4,2.21,1.05
2022/11/5,35,D1,Daughter1_D035,33.11,6.64,-450.5,3.52,1562.15,1.4,2000,0,1.51,0,0,0,0,0,30,1.1133,7.00E-02,13.12,59.64,27.18,201.74,2.23,1.01
2022/11/6,36,D1,Daughter1_D036,33.18,6.66,-446.25,3.7,1554.75,1.6,2000,0,1.39,0,0,0,0,0,30,1.1539,0.00E+00,13.42,59.58,27,185.55,2.26,1.08
2022/11/7,37,D1,Daughter1_D037,33.24,6.64,-425.04,3.65,1530.05,1.6,2000,0,1.38,0,0,0,0,0,10,1.056,4.66E-02,12.94,59.69,27.32,179.13,2.25,1.1
2022/11/8,38,D1,Daughter1_D038,33.23,6.64,-388.64,3.63,1488.75,1.6,2000,0,1.59,0,0,0,0,0,50,0.8171,0.00E+00,16.55,59.46,23.99,218.52,2.25,1.11
2022/11/9,39,D1,Daughter1_D039,33.33,6.65,-435.45,3.56,1505.75,1.6,2000,0,2.31,4.55,1.65,0,0,0,30,0.9164,0.00E+00,14.93,59.79,25.28,187.85,2.24,1.09
