SampleID in library D1,Index 1 (i7) adapter,Index 2 (i5) adapter,,SampleID in library D2,Index 1 (i7) adapter,Index 2 (i5) adapter,,SampleID in library D3,Index 1 (i7) adapter,Index 2 (i5) adapter,,SampleID in library D4,Index 1 (i7) adapter,Index 2 (i5) adapter,,,,
Daughter1_049,N702,S507,,Daughter2_049,N702,S507,,Daughter3_049,N703,S507,,Daughter4_049,N702,S507,,,,
Daughter1_050,N703,S507,,Daughter2_050,N703,S507,,Daughter3_050,N704,S507,,Daughter4_050,N703,S507,,,,
Daughter1_051,N704,S507,,Daughter2_051,N704,S507,,Daughter3_051,N705,S507,,Daughter4_051,N704,S507,,,,
Daughter1_052,N705,S507,,Daughter2_052,N705,S507,,Daughter3_052,N706,S507,,Daughter4_052,N705,S507,,,,
Daughter1_053,N706,S507,,Daughter2_053,N706,S507,,Daughter3_053,N707,S507,,Daughter4_053,N706,S507,,,,
Daughter1_054,N707,S507,,Daughter2_054,N707,S507,,Daughter3_054,N710,S507,,Daughter4_054,N707,S507,,,,
Daughter1_055,N710,S507,,Daughter2_055,N710,S507,,Daughter3_055,N711,S507,,Daughter4_055,N710,S507,,,,
Daughter1_056,N711,S507,,Daughter2_056,N711,S507,,Daughter3_056,N712,S507,,Daughter4_056,N711,S507,,,,
Daughter1_057,N712,S507,,Daughter2_057,N712,S507,,Daughter3_057,N714,S507,,Daughter4_057,N712,S507,,,,
Daughter1_058,N714,S507,,Daughter2_058,N714,S507,,Daughter3_058,N715,S507,,Daughter4_058,N714,S507,,,,
Daughter1_059,N715,S507,,Daughter2_059,N715,S507,,Daughter3_059,N701,S508,,Daughter4_059,N715,S507,,,,
Daughter1_060,N701,S508,,Daughter2_060,N701,S508,,Daughter3_060,N702,S508,,Daughter4_060,N701,S508,,,,
Daughter1_061,N702,S508,,Daughter2_061,N702,S508,,Daughter3_061,N703,S508,,Daughter4_061,N702,S508,,,,
Daughter1_062,N703,S508,,Daughter2_062,N703,S508,,Daughter3_062,N704,S508,,Daughter4_062,N703,S508,,,,
Daughter1_063,N704,S508,,Daughter2_063,N704,S508,,Daughter3_063,N705,S508,,Daughter4_063,N704,S508,,,,
Daughter1_064,N705,S508,,Daughter2_064,N705,S508,,Daughter3_064,N706,S508,,Daughter4_064,N705,S508,,,,
Daughter1_065,N706,S508,,Daughter2_065,N706,S508,,Daughter3_065,N707,S508,,Daughter4_065,N706,S508,,,,
Daughter1_066,N707,S508,,Daughter2_066,N707,S508,,Daughter3_066,N710,S508,,Daughter4_066,N707,S508,,,,
Daughter1_067,N710,S508,,Daughter2_067,N710,S508,,Daughter3_067,N711,S508,,Daughter4_067,N710,S508,,,,
Daughter1_068,N711,S508,,Daughter2_068,N711,S508,,Daughter3_068,N712,S508,,Daughter4_068,N711,S508,,,,
Daughter1_069,N712,S508,,Daughter2_069,N712,S508,,Daughter3_069,N714,S508,,Daughter4_069,N712,S508,,,,
Daughter1_070,N714,S508,,Daughter2_070,N714,S508,,Daughter3_070,N715,S508,,Daughter4_070,N714,S508,,,,
Daughter1_071,N715,S508,,Daughter2_071,N715,S508,,Daughter3_071,N701,S510,,Daughter4_071,N715,S508,,,,
Daughter1_072,N701,S510,,Daughter2_072,N701,S510,,Daughter3_072,N702,S510,,Daughter4_072,N701,S510,,,,
Daughter1_073,N702,S510,,Daughter2_073,N702,S510,,Daughter3_073,N703,S510,,Daughter4_073,N702,S510,,,,
Daughter1_074,N703,S510,,Daughter2_074,N703,S510,,Daughter3_074,N704,S510,,Daughter4_074,N703,S510,,,,
Daughter1_075,N704,S510,,Daughter2_075,N704,S510,,Daughter3_075,N706,S510,,Daughter4_075,N704,S510,,,,
Daughter1_076,N705,S510,,Daughter2_076,N705,S510,,Daughter3_076,N707,S510,,Daughter4_076,N705,S510,,,,
Daughter1_077,N706,S510,,Daughter2_077,N706,S510,,Daughter3_077,N710,S510,,Daughter4_077,N706,S510,,,,
Daughter1_078,N707,S510,,Daughter2_078,N707,S510,,Daughter3_078,N711,S510,,Daughter4_078,N707,S510,,,,
Daughter1_079,N710,S510,,Daughter2_079,N710,S510,,Daughter3_079,N712,S510,,Daughter4_079,N710,S510,,,,
Daughter1_080,N711,S510,,Daughter2_080,N711,S510,,Daughter3_080,N714,S510,,Daughter4_080,N711,S510,,,,
Daughter1_081,N712,S510,,Daughter2_081,N712,S510,,Daughter3_081,N715,S510,,Daughter4_081,N712,S510,,,,
Daughter1_082,N714,S510,,Daughter2_082,N714,S510,,Daughter3_082,N701,S511,,Daughter4_082,N714,S510,,,,
Daughter1_083,N715,S510,,Daughter2_083,N715,S510,,Daughter3_083,N702,S511,,Daughter4_083,N715,S510,,,,
Daughter1_084,N701,S511,,Daughter2_084,N701,S511,,Daughter3_084,N703,S511,,Daughter4_084,N701,S511,,,,
Daughter1_085,N702,S511,,Daughter2_085,N702,S511,,Daughter3_085,N704,S511,,Daughter4_085,N702,S511,,,,
Daughter1_086,N703,S511,,Daughter2_086,N703,S511,,Daughter3_086,N705,S511,,Daughter4_086,N703,S511,,,,
Daughter1_087,N704,S511,,Daughter2_087,N704,S511,,Daughter3_087,N706,S511,,Daughter4_087,N704,S511,,,,
Daughter1_088,N705,S511,,Daughter2_088,N705,S511,,Daughter3_088,N707,S511,,Daughter4_088,N705,S511,,,,
Daughter1_089,N706,S511,,Daughter2_089,N706,S511,,Daughter3_089,N710,S511,,Daughter4_089,N706,S511,,,,
